img|desc
50879|American Plaice, or Turbot-Flounder; Paralichthys dentatus (L.), J. & G.
44102|American Haddock : Morrhua Aeglefinis; Cuvier
35992|American Eel (Anguilla chrysypa)
51088|Alkaska Smelt; Osmerus dentex, Steindachner
44076|American Bream : Abramis versicolor; Agassiz
37936|Ameiurus vulgaris (Thompson). Bullhead
34271|Ameiurus platycephalus (Girard). Mud cat (S.C.)
34273|Ameiurus nigricans (La Sueur). Great catfish. Florida catfish. Mud cat (Fla.)
40131|Ameiurus lupus (Girar). Pecos River, Texas
34272|Ameiurus albidus (La Sueur). White catfish. White cat (S.C.), Black cat (S.C.), Bullhead (S.C.)
36144|Amblygobius phalaeua, Cuvier and Valenciennes; A specimen 77 mm. long, from Murray Island, Torres Strait
36178|Amblygobius bynoeusis, Richardson; A specimen 92 mm. long., from Queensland
32578|Ambloplites Rupestris; Rock Bass
37930|Ambloplites rupestris (Ravinesque). Rock Bass
51412|Amber-Fish. Seriola lalandi
51921|Amber-fish, Seriola lalandi (Cub. & Val.). Family Carangidae. Wood's Hole
39619|Ambassis vaivasensis Jordan & Seale, new species. Type
39649|Ambassis lafa Jorda 7 Seale, new species. Type
36075|Ambassis Commersonii (Commerson's Ambassis); India
39669|Amanses scopas (Cuvier)
38087|Alutera scripta (Osbeck). Unicorn-fish; Lija Trompa
40124|Alutera schoepffi (Walbaum). Orange Filefish. Cedar Keys, Florida
42543|Alutera monoceros (Osbeck); after Hugh M. Smith
38867|Alutera monoceros (Osbeck)
32879|Alutarius Barbatus #1; Ostracium Tesserula #2-3
39754|Alticus thalassinus Jordan & Seale, new species. Type
39718|Alticus musilae Jordan & Seale, new species. Type
42580|Alticus marmoratus (Bennett); after Gunther
42581|Alticus gibbifrons (Quoy & Gaimard). Type of Salarias rutilus Jenkins
42582|Alticus gibbifrons (Quoy & Gaimard) Type of Salarias salitans Jenkins
46339|Alpine Char; Salmo alpinus; Salvelinus alpinus
38084|Alphestes chloropterus (Cuvier & Valenciennes). 'Cherna'; Guaseta
33314|Alosa Sapidissima; Common Shad
33883|Alosa Sapidissima (Wilson); Shad
35679|Alosa finta var. lacustris -- Agone
45535|Alopias vulpinus
42364|Alopias vulpes (Gmelin)
39095|Alloposus mollis, ventral view of small female, from the Pailolo Channel
45626|Allocyttus verrucosus
46318|Allis Shad; Scadina; Alewife; Damin Herring; Clupea alosa; Alosa vulgaris
51734|Alligator-gar, Lepisosteus tristaechus (Bluch). Cuba
50941|Alfione; Rhacochilus Toxotes, Agassiz
47958|Alexurus armiger
51747|Alewife, Pomolobus pseudoharengus (Wilson). Potomac River
43129|Alewife or Branch Herring (Pomolobus pseudoharengus)
43234|Alewife (Pomolobus pseudoharengus (Wilson))
51754|Alepocephalus agassizii Goode & Bean. Gulf Stream
42443|Alectis ciliaris (Bloch)
42691|Aldrovandia verticalis Gilbert. Type
51806|Aldrovandia gracilis (Goode & Bean). Guadaloupe Island, West Indies. Famaly Halosauridae
42690|Aldrovanda kauaiensis Gilbert. Type; Halosauropsis kauaiensis
42692|Aldovandia proboscidea Gilbert. Type
48103|Alburnus mento (Agassiz)
48100|Alburnus lucidus, var. Breviceps (Heckel and Kner)
48099|Alburnus lucidus (Heckel and Kner)
48102|Alburnus alburnellus, var. Fracchia (Heckel and Kner)
48101|Alburnus alburnellus (Martens)
35785|Alburnus alborella -- Alborella
42368|Albula vulpes (Linnaeus)
41907|Albino Brook Trout
37839|Albacoria Alalonga Gmelin. Germon, Albacore
34958|Albacore--The females settled down upon the smooth patches of sandy sea-floor
37838|Albacora Thynnus (Linnaeus). Tunny, Horse Mackerel
45854|Alausa platycephalus
32867|Alaskan Plaice (Parophrys ischyrus)
51085|Alaska Whitefish; Coregonus Merki, Gthr.
51090|Alaska Surf Smelt; Hypomesus olidus
50925|Alaska Sculpin; Cottus polyacanthocephalus, Pallas
50889|Alaska Sand Dap; Hipoglossoides elassodon, J & G
40091|Alaska Grayling (Thymallus signifer)
51081|Alaska Grayling; Thymallus signifer, Richardson
51632|Alaska Grayling, Thymallus signifer Richardson, Nulato, Alasko
51786|Alaska Grayling, Thymallus signifer Richardson. Nulato, Alaska
50900|Alaska Pollock; Pollachus chalcogrammus (Pallas)
51160|Alaska Brook Lamprey; Ammocoetes aureus, Bean
51870|Alaska Blackfish, Dallia pectoralis (Bean). St. Michaels, Alaska
50950|Alalonga or Long-Finned Tunny; Greynus alalonga (Gmel.), Risso
41166|Alaeops plinthus Jordan & Starks
33845|Alabama Shad; Alosa alabamae Jordan; Evermann; male
33827|Alosa alabamae Jordan; Evermann; female
34270|Ailurichthys marinus (Mitchilli). Sea catfish. Silver cat (N.C.)Large-mouthed cat (S.C.). Gaff Topsail (Ga.). Sea cat (Fla)
38064|Agonostomus monticola (Bancroft). 'Dajao'
34259|Agosia falcata; Eigenmann & Eigenmann
39789|Agosia klamathensis Evermann & Meek, new species
40934|Agosia robusta Rutter, new species
34193|Agosia umatilla, sp. nov. (Type.); Columbia River, Umatilla, Oregon
45634|Agonostomus forsteri
52145|Agonoid-fish, P{allasina barbata (Steindachner). Port Mulgrave, Alaska
51853|African Catfish, Chlarias breveceps Boulenger. Congo River. Family Chlaridae
38039|Aetobatus narinari, ventral view; Spotted Sting Ray; 'Obispo'; 'Chucho'
38044|Aetobatus narinari, dorsal view; Spotted Sting Ray; 'Obispo'; 'Chucho'
40305|Aetobatus narinari, dorsal view of a specimen from Beaufort, N.C., showing characteristic coloration of young
47056|Aetobatis narinari
52385|Aequideus paraguayensis Eigenmann and Kennedy
36386|AEquorial pipe fish (1); Short Nosed Hippocampus (2)
51894|Aeoliscus heinrichi Heckel. Eocene of Carpathia. Family Centriscidae
51714|Adult male of Lepidosiren paradoxa Fitzinger
33818|Aenidia peninsuux (Goode; Bean); Figure from a specimen from Titusville, Fla.
50477|Adult Green and Red varieties of Labrus communis
50455|Adult Salmon
43056|Adirondack Frost Fish or Round White Fish (Coregonus quadrilateralis. Richardson)
48167|Acipenser sturio (Linnaeus)
32667|Acipenser Sturio Linnaeus; Common Sturgeon
48151|Acipenser stellatus (Pallas)
48148|Acipenser ruthenus, Var. Gmelini (Fitzinger and Heckel)
48170|Acipenser huso
35735|Acipenser naccarii -- Storione
48145|Acipenser ruthenus (Linnaeus)
48162|Acipenser heckelii (Fitzinger)
48157|Acipenser guldenstadtii (Brandt)
